id,nombre,categoria,prompt_es,aspect_ratio,style
velas-miel,Velas de Miel,Velas,"Velas de Miel:  Foto de producto/servicio conceptual, estilo estudio, fondo crema cálido minimalista, iluminación suave y difusa, utilería mínima, paleta miel (#E0A73A) y verde (#628D6A), 4k, sin texto.",4:3,"estudio minimalista cálido, realista, high key"
locion-atrayente,Loción Atrayente,Lociones,"Loción Atrayente:  Foto de producto/servicio conceptual, estilo estudio, fondo crema cálido minimalista, iluminación suave y difusa, utilería mínima, paleta miel (#E0A73A) y verde (#628D6A), 4k, sin texto.",4:3,"estudio minimalista cálido, realista, high key"
locion-palo-santo,Loción Palo Santo,Lociones,"Loción Palo Santo:  Foto de producto/servicio conceptual, estilo estudio, fondo crema cálido minimalista, iluminación suave y difusa, utilería mínima, paleta miel (#E0A73A) y verde (#628D6A), 4k, sin texto.",4:3,"estudio minimalista cálido, realista, high key"
agua-florida,Agua Florida,Lociones,"Agua Florida:  Foto de producto/servicio conceptual, estilo estudio, fondo crema cálido minimalista, iluminación suave y difusa, utilería mínima, paleta miel (#E0A73A) y verde (#628D6A), 4k, sin texto.",4:3,"estudio minimalista cálido, realista, high key"
locion-ellas-ellos,Loción Ellas y Ellos,Lociones,"Loción Ellas y Ellos:  Foto de producto/servicio conceptual, estilo estudio, fondo crema cálido minimalista, iluminación suave y difusa, utilería mínima, paleta miel (#E0A73A) y verde (#628D6A), 4k, sin texto.",4:3,"estudio minimalista cálido, realista, high key"
brisa-bendicion-dinero,Brisa Áurica Bendición del Dinero,Brisas Áuricas,"Brisa Áurica Bendición del Dinero:  Foto de producto/servicio conceptual, estilo estudio, fondo crema cálido minimalista, iluminación suave y difusa, utilería mínima, paleta miel (#E0A73A) y verde (#628D6A), 4k, sin texto.",4:3,"estudio minimalista cálido, realista, high key"
brisa-prosperidad,Brisa Áurica Prosperidad,Brisas Áuricas,"Brisa Áurica Prosperidad:  Foto de producto/servicio conceptual, estilo estudio, fondo crema cálido minimalista, iluminación suave y difusa, utilería mínima, paleta miel (#E0A73A) y verde (#628D6A), 4k, sin texto.",4:3,"estudio minimalista cálido, realista, high key"
brisa-abundancia,Brisa Áurica Abundancia,Brisas Áuricas,"Brisa Áurica Abundancia:  Foto de producto/servicio conceptual, estilo estudio, fondo crema cálido minimalista, iluminación suave y difusa, utilería mínima, paleta miel (#E0A73A) y verde (#628D6A), 4k, sin texto.",4:3,"estudio minimalista cálido, realista, high key"
exf-abrecaminos,Exfoliante Abre Caminos,Exfoliantes,"Exfoliante Abre Caminos:  Foto de producto/servicio conceptual, estilo estudio, fondo crema cálido minimalista, iluminación suave y difusa, utilería mínima, paleta miel (#E0A73A) y verde (#628D6A), 4k, sin texto.",4:3,"estudio minimalista cálido, realista, high key"
exf-venus,Exfoliante Venus,Exfoliantes,"Exfoliante Venus:  Foto de producto/servicio conceptual, estilo estudio, fondo crema cálido minimalista, iluminación suave y difusa, utilería mínima, paleta miel (#E0A73A) y verde (#628D6A), 4k, sin texto.",4:3,"estudio minimalista cálido, realista, high key"
feromonas-naturales,Feromonas Naturales,Feromonas,"Feromonas Naturales:  Foto de producto/servicio conceptual, estilo estudio, fondo crema cálido minimalista, iluminación suave y difusa, utilería mínima, paleta miel (#E0A73A) y verde (#628D6A), 4k, sin texto.",4:3,"estudio minimalista cálido, realista, high key"
feromonas-dyc,Feromonas Damas y Caballeros,Feromonas,"Feromonas Damas y Caballeros:  Foto de producto/servicio conceptual, estilo estudio, fondo crema cálido minimalista, iluminación suave y difusa, utilería mínima, paleta miel (#E0A73A) y verde (#628D6A), 4k, sin texto.",4:3,"estudio minimalista cálido, realista, high key"
